Assignee,Status,Comment/Remark,Local URL,YYYY,Source ID,Accession Number,Internal ID / Seq ID,Unique Resource ID,Title,Renamed File, Sane file,Creator,Date.Created,Coverage.Temporal,Coverage.Spatial,Publisher,Description,Language,File type,Content Type,Format,Copyright,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject,Keyword/ Subject
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/Exhibits/Challenging%20States/Manipur/MaharajaNarasingh.jpg,1844,EXB,,158,1844-EXB-158,Kingdom of Manipur - Maharaja Nara Singh,exb/1844-exb-158-kingdom-of-manipur-maharaja-nara-singh.jpg,exb/1844-exb-158-kingdom-of-manipur-maharaja-nara-singh.jpg,,1844,1940-1955,"Manipur, India",,Nara Singh was Kingdom of Manipur. Nara Singh ruled form 1844 to 1850.His subjects called him ‘Eningthou Nungsiba’ or ‘our beloved king.,English,Photograph,,jpg,,Maharaja Nara Singh,Kingdom of Manipur,Manipur Princely State,Regent of Manipur,1844-1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/Exhibits/Challenging%20States/Manipur/maharaja-bodh.png,1944,EXB,,159,1944-EXB-159,Maharaja Bodh - Kingdom of Manipur,exb/1944-exb-159-maharaja-bodh---kingdom-of-manipur.png,exb/1944-exb-159-maharaja-bodh---kingdom-of-manipur.png,,1944,1940-1955,"Manipur, India",,Maharaja Bodh Chandra inspecting a British Indian Airforce fighter plane at Koirengei airfield during the Battle of Imphal 1944,English,Photograph,,png,,Maharaja Bodh Chandra,British Indian Airforce fighter plane,Koirengei airfield,Battle of Imphal,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/Exhibits/Challenging%20States/Manipur/Jhalajit_2009_2.jpg,1947,EXB,,160,1947-EXB-160,Order of Instrument of Accession Manipur by Maharaja of Manipur,exb/1947-exb-160-order-of-instrument-of-accession-manipur-by-maharaja-of-manipur.jpg,,,1947,1940-1955,India,,Public Order of Instrument of Accession of Manipur Princely state issued by Maharaja of Manipur in 1947.,English,Government Document,,jpg,,Instrument of Accession,Princely state of Manipur,Manpur State Gazette,Maharaja of Manipur,G H Singh,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/Exhibits/Challenging%20States/Jodhpur/state%20fiscal%20004.jpg,1948,EXB,,161,1948-EXB-161,Indian Princely State Jodhpur estate Auwa Fiscal Court fee and Revenue Stamps,exb/1948-exb-161-indian-princely-state-jodhpur-estate-auwa-fiscal-court-fee-and-revenue-stamps.jgp,,,1948,1940-1955,"Jodhpur, India",,The Image shows Fiscal Court fee and Revenue Stamps in Indian Princely State Jodhpur estate Auwa.,English,Photograph,,jgp,,Indian Princely State,Jodhapur,Auwa,Court Fee and Revenue Stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/Exhibits/Challenging%20States/Jodhpur/d59d22992830e38f44608eea4988dff1.jpg,1949,EXB,,162,1949-EXB-162,Maharaja of Jodhpur Hanwant Singh with second wife Sandra Mcbryde,exb/1949-exb-162-maharaja-of-jodhpur-hanwant-singh-with-second-wife-sandra-mcbryde.jgp,,,1949,1940-1955,"Jodhpur, India",,Maharaja of Jodhpur Hanwant Singh with second wife Sandra Mcbryde at a party in Bombay in 1949. ,English,Photograph,,jgp,,Jodhapur Maharaja photograph,Jodhapur Princely State,Hanwant Singh,Sandra Mcbryde,Bombay,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shraddha Jambure,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/Exhibits/Challenging%20States/Speech/,19YY,EXB,,565,19YY-EXB-565,Sardar Patel Speech on United India,exb/19yy-exb-565-sardar-patel-speech-on-united-india.wav,,,19YY,1940-1955,India,,It is a speech given by sardar Vallabhbhai Patel talking about the Princely States of India and also thanking to all the Maharja's of Princely states to integrating into the Indian Union,Hindi,Speech,,wav,,Sardar Vallabhbhai Patel ,Princely States,Indian Union,Partition of India,Sardar Vallabhbhai Patel's speech,Independence of India,Mahatma Gandhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shraddha Jambure,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/Exhibits/Challenging%20States/Speech/,19YY,EXB,,566,19YY-EXB-566,Sardar Vallabhai Patel speech at Convocation function of School,exb/19yy-exb-566-sardar-vallabhai-patel-speech-at-convocation-function-of-school.mp3,,,19YY,1940-1955,India,,"It is a speech given by Sardar Vallabhbhai Patel,He was thanking to the people for inviting him for the inauguration of the school",Hindi,Speech,,mp3,,Sardar Vallabhbhai Patel ,Sardar Vallabhbhai Patel's speech,Convocation of School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shraddha Jambure,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/Exhibits/Challenging%20States/Speech/,1948,EXB,,567,1948-EXB-567,Sardar Patel Speech on Inaugaration of Radio Station at Nagpur,exb/1948-exb-567-sardar-patel-speech-on-inaugaration-of-radio-station-at-nagpur.wav,,,1948,1940-1955,India,,It is a speech given by Sardar Vallabhbhai Patel on 4 november 1948 at the inauguration of Radio staion in Nagpur,Hindi,Speech,,wav,,Sardar Vallabhbhai Patel ,Sardar Vallabhbhai Patel's speech,Nagpur,Radio station,Inaugaration of Radio Station at Nagpur,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shraddha Jambure,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/Exhibits/Challenging%20States/Speech/,1948,EXB,,568,1948-EXB-568,Sardar Patel Speech at Congress Committee Meeting,exb/1948-exb-568-sardar-patel-speech-at-congress-committee-meeting.wav,,,1948,1940-1955,India,,"It is a speech given by Sardar Vallabhbhai Patel in Bombay State Congress Committe Assembly on 18 January 1948,talking that the businessman and the Labourers Should work together and Avoids Strikes in India",Hindi,Speech,,wav,,Collaborative Work of Industrialist and Workers,Development of Industry,Sardar Vallabhbhai Patel ,Sardar Vallabhbhai Patel's speech,Jawaharlal Nehru,Bombay,Congress Committee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shraddha Jambure,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/Exhibits/Challenging%20States/Speech/,1949,EXB,,569,1949-EXB-569,Sardar Patel speech on Moral Values of Mahatma Gandhi,exb/1949-exb-569-sardar-patel-speech-on-moral-values-of-mahatma-gandhi.wav,,,1949,1940-1955,India,,"It is a speech given by Sardar Vallabhbhai Patel on 2 October,1949 talking about the Gandhiji's Ideas and Values",Hindi,Speech,,wav,,Sardar Vallabhbhai Patel ,Sardar Vallabhbhai Patel's speech,Mahatma Gandhiji,Moral Values of Mahatma Gandhi,Disharmony in Country,Production of Crops,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/All%20mp4%20video%20of%20sardar%20patel/Agony%20of%20Partition.mp4,19YY,AVSP,,1,19YY-AVSP-1,Agony of Partition,avsp/19yy-avsp-1-agony-of-partition.mp4,avsp/19yy-avsp-1-agony-of-partition.mp4,N S Thapa,19YY,1940-1955,India,Films Division,"Agony of Partition is documentary film which shows division of peaceful country by British by ""Divide and Rule"".  Film shows India's Independence movement and problems after independence. Film focuses on Communal riots in India, Partion of India etc due to British rules. ",English,Video,,mp4,,Division of India by Communal Basis ,First war of Independance 1857,Rani Lakshmi Bai,Nanasaheb Tatya Tope,Mangal Pandey,Divide and Rule,Indian Council Act,Communal Riots in Peshawar,Khilafat Movement,Mahatma Gandhi,Non Co-operation Fair,Salt Satyagrah,Maulana Azad,Quit India Resolution,Mohamad Ali Jinnah,Sardar Vallabhbhai Patel,Communal Riots in Country,Partition of India,Death of Gandhiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Patil,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/All%20mp4%20video%20of%20sardar%20patel/A%20man%20of%20silence.mp4,19YY,AVSP,,2,19YY-AVSP-2,"A Man of Silence: Sardar Vallabhbhai Patel""","avsp/19yy-avsp-2-a-man-of-silence:-sardar-vallabhbhai-patel"".mp4",avsp/19yy-avsp-2-a-man-of-silence-sardar-vallabhbhai-patel.mp4,Yazdi N Engineer,19YY,1940-1955,India,Films Division,A Man of Silence: Sardar Vallabhbhai Patel is a documentary film. This films shows journey of sardar Vallabhbhai Patel from student to active member of Indian National Congress. Film also shows Sardar Patel's personal life.,English,Video,,mp4,,Sardar Vallabhbhai Patel ,Maniben Patel,Man of Silence,Iron Man of India,Integration of India,Integration of Princely States,Nagin Das Sangavi,Rajmohan Gandhi,Museum of Sardar Patel in Gujarat,Personal life of Sardar Patel,Participation in Different Independence Movement,Mahatma Gandhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepa Namagiri,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/All%20mp4%20video%20of%20sardar%20patel/India%20Independent.mp4,1947,AVSP,,3,1947-AVSP-3, India Independent,avsp/1947-avsp-3-india-independent.mp4,,,1947,1940-1955,India,Documentary Films of India,"India Independent  is a documentary film which shows India's culture,civilization and struggle for freedom from 1757 to 1947. Film also shows Mahatma Gandhi's Satyagragh,Dandi and Quit India movements, Independence day celebrations on 15th August,1947 and speeches at first constitution assembly, New Delhi.",English,Video,,mp4,,India Independence,15th August 1947,Mahatma Gandhiji,India's culture and heritage,Crafts,Trading,1757,1857,1869 Gandhiji born,Satyagragh,Dandi,Quit India,2nd World War,Congress,Sardar Vallabhbhai Patel,"first constitution assembly, New Delhi.",Jawaharlal Nehru's speech on 15th August 1947 at New Delhi,Mountbatten first Governor General,Subhash Chadra Bose,Babu Rajendra prasad,Pakistan,1930,big crowd at Delhi on 15th August 1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shwetambari Shinde,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/All%20mp4%20video%20of%20sardar%20patel/Indian%20news%20review.mp4,1948,AVSP,,4,1948-AVSP-4,India News Review,avsp/1948-avsp-4-india-news-review.mp4,,,1948,1940-1955,India,Films Division,This is documentary film shows Lord Mountbatten's last speech in India and leaving to London. Film also shows Mr. C Rajgopalachari's oath ceremony as next Governer General of India in 1948. ,Hindi,Video,,mp4,,Mountbatten,C. Rajgopalachari,Governor General 1948,21st June 1948,Governor House New Delhi,Jawaharlal Nehru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shwetambari Shinde,Second Review,,http://10.129.50.5/nvli/data/Sardar%20Patel-07-09-2016/All%20mp4%20video%20of%20sardar%20patel/India%20wins%20freedom.mp4,1947,AVSP,,5,1947-AVSP-5,India wins freedom,avsp/1947-avsp-5-india-wins-freedom.mp4,,N S Thapa,1947,1940-1955,India,Films Division,"India wins Freedom is a documentary film shows Mountbatten's plan of division of India, Mahatma Gandhi and Jawaharlal Nehrus' visits to different places i.e.Bengal, Bihar, Naokhali and Punjab. Film also shows Independance Day celebration and Flag hosting by Pandit Nehru on 15th August, 1947.",Hindi,Video,,mp4,,India wins Freedom,15th August 1947,Mahatma Gandhiji,Jawaharlal Nehru,Mountbatten,flag hosting,Dr. Rajendra Prasad,Jinnah,Liaquat Ali Khan,Bengal and Bihar riots ,Muslim League,Partition plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr.Rita Mehta,Second Review,,http://10.129.50.5/nvli/data/Material%20from%20Navjivan%20Trust/SEARCHABLE%20PDF-A/104ACC155_Acquiring%20of%20Land%20-Surat%20Kelwali%20Mandal%201942.pdf,1942,NJT,104ACC155,1,1942-NJT-104ACC155-1,Acquiring of Land -Surat Kelwani Mandal,njt/1942-njt-104acc155-1-acquiring-of-land--surat-kelwani-mandal.pdf,,,1942,1940-1955,"Surat, India",,Acquiring of Land -Surat Kelwani Mandal,Gujarati and English,Letetrs,,pdf,,Surat District Comittiee,"Patidar Vidhyarthi Ashram, Surat","Kasturba Sevashram, Maroli","51st Indian National Congress, Haripura",Anavil Vidhyarthi Ashram,Sardar Vallabhbhai patel,Chotubhai Bhaidas Marfatia,Kalyanji V. Mehta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr.Rita Mehta,Second Review,,http://10.129.50.5/nvli/data/Material%20from%20Navjivan%20Trust/SEARCHABLE%20PDF-A/104ACC155_Acquiring%20of%20Land%20-Surat%20Kelwali%20Mandal%201942.pdf,1942,NJT,104ACC155,1,1942-NJT-104ACC155-1,સુરત કેળવણી મંડળની જમીન હસ્તગત કરી તેને લાગતો પત્રવ્યવહાર,njt/1942-njt-104acc155-1-સુરત-કેળવણી-મંડળની-જમીન-હસ્તગત-કરી-તેને-લાગતો-પત્રવ્યવહાર.pdf,,,1942,1940-1955,"Surat, India",,આ ફાઈલમાં સુરત કેળવણી મંડળની જમીન હસ્તગત કરી તેને લાગતો પત્રવ્યવહાર છે,"ગુજરાતી, અંગ્રેજી",પત્રો/લેટર્સ,,pdf,,સુરત જીલ્લા સમિતિ,"પાટીદાર વિદ્યાર્થી આશ્રમ, સુરત","કસ્તુરબા સેવાશ્રમ, મરોલી","૫૧મી ઇન્ડિયન નેશનલ કોંગ્રેસ, હરિપુરા","અનાવિલ વિદ્યાર્થી આશ્રમ, સુરત",સરદાર વલ્લભભાઈ પટેલ,છોટુભાઈ ભાઈદાસ મારફતીઆ,કલ્યાણજી વિ. મહેતા,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
